project,story_id,run_id,user_story,review_status,classification_mode,final_rows,final_confidence,decision,disagreement_cause,action,why,uncertainty_band,uncertainty_score,consensus_ratio,disagreement_rate,hypothesis_count,label_overlap,normalized_entropy,taxonomy_version,prompt_version,policy_version,openai_rows,openai_confidence,openai_needs_review,gemini_rows,gemini_confidence,gemini_needs_review,deepseek_rows,deepseek_confidence,deepseek_needs_review,groq_rows,groq_confidence,groq_needs_review
P02,us_3d7385394fca2d9e,run_677b34ee21ed405a9beec70a89e371e5,"As an administrator, I want to create, read, update, and delete organizations so that I can manage organization data efficiently.",accepted_auto,,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.94,accept,annotation_error_suspected,none,"Todos os modelos concordaram perfeitamente com as mesmas linhas, mapeando CRUD para Registry. A confiança agregada é alta, mas a história é multi-rótulo, então há uma suspeita leve de erro de anotação por não ser uma única operação.",low,0.0142,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.93,False,,,,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,False,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,1.0,False
P02,us_39b540c664317363,run_677b34ee21ed405a9beec70a89e371e5,"As an administrator, I want to create, read, update, and delete users so that I can manage user accounts in the system.",accepted_auto,classify_only,n/a::n/a,0.6,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.5583,0.3333,0.6667,3,0.4444,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Authentication::Create account | Authentication::Remove account | Registry::Retrieve data | Registry::Update data | Registry::Remove data | Registry::Insert data,0.78,True,,,,Authentication::Create account | Authentication::Retrieve data | Authentication::Update profile | Authentication::Remove account,0.9,False,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data | Authentication::Create account | Authentication::Remove account | Authentication::Update profile | Management::View dashboard,1.0,False
P02,us_2fb85988a84aa4b3,run_677b34ee21ed405a9beec70a89e371e5,"As an administrator, I want to perform advanced searches and apply filters to users so that I can quickly find specific user profiles.",accepted_auto,classify_only,n/a::n/a,0.77,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4233,0.3333,0.6667,3,0.4444,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Retrieve data | Registry::Modify input behavior,0.72,False,,,,Registry::Retrieve data,0.8,False,Registry::Retrieve data | Management::View dashboard,0.8,False
P02,us_ae24280b1effd6e3,run_677b34ee21ed405a9beec70a89e371e5,"As an administrator, I want to perform advanced searches and apply filters to organizations so that I can easily locate specific organization records.",accepted_auto,classify_only,n/a::n/a,0.81,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4133,0.3333,0.6667,3,0.4444,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Retrieve data | Registry::Modify input behavior,0.74,False,,,,Registry::Retrieve data,0.9,False,Registry::Retrieve data | Management::View dashboard,0.8,False
P02,us_a7612bf2e4cc43c3,run_677b34ee21ed405a9beec70a89e371e5,"As an administrator, I want to associate users with organizations so that I can manage their relationships and access permissions.",accepted_auto,classify_only,n/a::n/a,0.78,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4495,0.6667,0.3333,2,0.5,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Update data | Authentication::Validate user permissions,0.74,True,,,,Registry::Update data | Authentication::Validate user permissions,0.8,False,Registry::Insert data | Authentication::Validate user permissions | Management::View dashboard,0.8,False
P02,us_62bd8c66ad5ccad7,run_677b34ee21ed405a9beec70a89e371e5,"As a project manager, I want to create, read, update, and delete project variables so that I can configure and manage project parameters effectively.",accepted_auto,,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.92,accept,model_instability,none,"Todos os modelos concordam com as mesmas linhas (CRUD no Registry), mas as confianças variam ligeiramente, indicando instabilidade menor.",low,0.02,1.0,0.0,1,1.0,0.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.86,False,,,,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,False,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,1.0,False
P02,us_700da4ead4b0754b,run_677b34ee21ed405a9beec70a89e371e5,"As a project manager, I want to create, read, update, and delete projects so that I can manage project information and lifecycle efficiently.",accepted_auto,,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,accept,model_instability,none,"Todos os modelos concordam nas operações CRUD do Registry, mas o Groq adicionou 'View dashboard' sem evidência clara na história, indicando instabilidade leve.",low,0.2545,0.6667,0.3333,2,0.8667,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,False,,,,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,False,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data | Management::View dashboard,0.9,False
P02,us_3f30a2bb9eeaf211,run_677b34ee21ed405a9beec70a89e371e5,"As an administrator, I want to select a project associated with an organization so that I can manage its configuration and related data.",accepted_auto,classify_only,n/a::n/a,0.3,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,high,0.6767,0.3333,0.6667,3,0.1333,1.0,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Retrieve data | Registry::Update data,0.66,True,,,,n/a::n/a,0.3,True,Registry::Insert data | Registry::Update data | Registry::Retrieve data | Authentication::Validate user permissions | Management::View dashboard,0.9,False
P02,us_616bc66b29182a03,run_677b34ee21ed405a9beec70a89e371e5,"As an administrator, I want to create, read, update, and delete media files so that I can manage digital content within the system.",accepted_auto,classify_only,n/a::n/a,0.78,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,medium,0.4295,0.6667,0.3333,2,0.7778,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.78,True,,,,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,False,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data | Authentication::Create account | Management::View dashboard,0.9,False
P02,us_4379e0fbe090eed5,run_677b34ee21ed405a9beec70a89e371e5,"As a system administrator, I want to create, read, update, and delete database servers so that I can manage database configurations and connections.",accepted_auto,classify_only,n/a::n/a,0.88,accept,model_instability,none,Auto-finalized in classify-only mode as not covered.,low,0.2595,0.6667,0.3333,2,0.8667,0.9183,1.0.0,wis_prompts_v1,uncertainty_v2,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.84,False,,,,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data,0.9,False,Registry::Insert data | Registry::Retrieve data | Registry::Update data | Registry::Remove data | Management::View dashboard,0.9,False
